,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,FINAL DIST,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MISC,NAME CHANGE,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,RECEIVERS DEED,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
892,4337016019,0,0,0,0,0,1443000,923520,0,0,0,0,0,0,2016,0,0,0,0,0,1925,1925,4698,2140,0,0,2,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
893,4337015011,0,0,0,0,0,2570000,1896403,0,0,0,0,0,0,2015,0,0,0,0,0,1936,1936,5957,3232,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
894,4337001020,0,0,1,0,0,2835000,2000093,0,0,0,0,0,0,2014,0,0,0,0,0,2003,2003,6202,2583,0,0,1,0,0,0.0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
895,4336013025,0,0,0,0,0,1122000,897694,0,0,0,0,0,0,2016,0,0,0,0,0,1951,1951,4040,1119,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
896,4337016004,0,0,0,0,0,2446500,1810380,0,0,0,0,0,0,2015,0,0,0,0,0,2010,2010,5904,2696,0,0,1,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
897,4337016030,0,0,1,0,0,731700,639881,0,0,0,0,0,0,1990,0,0,0,0,0,1923,1923,6518,1086,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
898,4336003025,0,0,0,0,0,981200,819691,0,0,0,0,0,0,2015,0,0,0,0,0,1926,1926,5072,2654,0,0,1,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
899,4337016009,0,0,0,0,0,794100,614771,0,0,0,0,0,0,2015,0,0,0,0,0,2014,2014,4559,2371,0,0,2,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
900,4339014012,0,1,1,0,0,765200,602614,0,0,0,0,0,0,2015,0,0,0,0,0,1902,1902,6176,910,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
901,5555004033,0,1,0,0,0,1732500,1043992,0,0,0,0,0,0,2015,0,0,0,0,0,1936,1936,8150,3460,0,0,1,0,0,0.0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
