,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MEMO AGREE SALE,NAME CHANGE,ORD OF CONDEMN,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,SHERIFFS,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
59,5551026020,0,0,0,0,1,1315895,878062,437833,0,0,0,33,15861,2017,1,2350000,1,1845000,1,1919,1950,7550,1544,1,1,1,0,0,1.0,1,1,3,2,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
60,5551013016,0,0,0,0,1,1755230,1179163,576067,0,0,0,33,21174,2014,0,1695000,1,750000,1,1922,1954,6749,2095,1,1,0,0,0,1.0,1,1,2,3,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
61,5551020013,0,0,0,0,1,2842699,1505006,1337693,0,0,0,47,34162,2015,0,2800000,1,2100000,1,1920,1955,8106,2784,1,1,1,0,0,2.0,1,1,4,3,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
62,5551030018,1,0,1,0,1,1786839,1405613,381226,0,0,0,21,21563,2015,0,1760000,1,1408000,1,1919,1960,6744,1845,1,1,1,1,1,1.0,1,1,2,2,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
63,5550004003,0,0,0,0,1,513625,247545,266080,0,0,0,52,6251,2017,1,0,0,0,0,1920,1960,5602,1596,1,1,1,0,0,1.0,1,1,3,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
64,5551015031,1,0,1,0,1,2122078,1105496,1016582,0,1,7000,48,25526,2013,0,0,1,1340000,1,1922,1962,7425,2382,1,1,1,1,1,2.0,1,1,3,3,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
65,5551029022,0,1,1,0,1,1067077,715681,351396,0,0,0,33,13003,2013,0,0,1,1500000,1,1919,1965,6600,2317,1,1,0,1,1,1.0,1,1,3,3,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
66,5551015035,0,0,1,1,1,2880000,1589600,1290400,0,0,0,45,34689,2015,0,2880000,1,2160000,1,1923,1965,8467,2888,1,1,1,0,0,2.0,1,1,5,3,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
67,5550008015,0,0,0,0,1,489532,238561,250971,0,1,7000,51,5968,2011,0,0,1,624000,1,1911,1970,7001,1739,1,1,0,0,0,2.0,1,1,3,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
68,5524014004,0,0,1,0,1,1190484,952388,238096,0,0,0,20,14424,2016,0,2250000,1,1687500,1,1922,1984,6000,3768,1,1,1,1,1,1.0,1,1,4,3,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
