,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,Prediction,Actual
32,5588032015,1,0,0,0,0,169157,74327,94830,0,0,0,0,2185,1968,0,63000,0,0,0,1922,1922,10338,3148,0,0,1,0,0,0.0,0,0,5,3,0,0,0,0,0,0,0,0,0,,
33,5589018007,0,0,1,0,0,97083,63143,33940,0,0,0,0,1287,1968,0,35500,0,0,0,1922,1922,6499,1789,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,,
34,5589019011,1,0,0,0,0,95423,63143,32280,0,0,0,0,1263,1968,0,33000,0,0,0,1921,1921,6499,1686,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,,
35,5588017002,0,0,0,0,0,751000,526000,225000,0,0,0,0,9366,2002,0,825000,0,0,0,1927,1927,15229,5211,0,0,1,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0
36,5587021008,0,0,0,0,0,1092942,726748,366194,0,0,0,0,13220,2003,0,0,1,546000,1,1933,1933,4884,1918,0,0,1,0,0,0.0,0,0,4,2,0,0,0,0,0,0,0,0,0,,
37,5430006011,1,0,0,0,1,407314,381863,25451,0,0,0,0,4896,2000,0,470000,1,200000,1,1921,1921,5120,1267,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,,
38,5430006022,0,0,0,0,1,623706,400955,222751,0,0,0,0,7554,2000,0,490000,1,350000,1,1981,1981,4609,2006,0,0,1,0,0,0.0,0,0,2,3,0,0,0,0,0,0,0,0,0,,
39,5430011020,1,0,0,0,1,127147,108061,19086,0,0,0,0,1697,2000,0,100000,0,0,0,1922,1922,3873,540,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
40,5430016008,0,0,0,0,1,488391,356406,131985,0,0,0,0,5916,2000,0,350000,1,280000,1,1938,1938,4674,2605,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,,
41,5430016024,0,0,0,0,1,557946,340683,217263,0,0,0,0,6695,2000,0,434000,1,347200,1,1995,1995,2557,1992,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0.0,0.0
