,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PERSONAL REP,QUIT CLAIM,RE-RECORD,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
48,5569007056,0,0,0,1,1,1482756,767680,715076,0,7000,1,48,18026,2001,0,1050000,1,725000,1,1972,1978,11108,3893,1,1,0,1,1,2,1,1,7,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
49,5569029014,0,0,0,1,0,686109,308402,377707,0,7000,1,55,8466,2001,0,0,0,0,0,1974,1977,8361,2904,1,1,0,1,1,2,1,1,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,
50,5569023023,1,0,0,1,1,1013234,709271,303963,0,7000,1,30,12455,2003,0,0,1,250000,1,1976,1976,18400,2735,1,1,0,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
51,5569014031,1,0,0,0,1,771712,562400,209312,0,7000,1,27,9549,2004,0,0,0,0,0,1973,1978,25453,3004,1,1,0,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,
52,5569029002,0,0,0,1,0,783388,313352,470036,0,7000,1,60,9668,2004,0,0,0,0,0,1977,1977,7466,4076,1,1,0,1,1,2,1,1,4,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,
53,5569029016,0,0,0,1,0,582279,502527,79752,0,0,0,14,7303,2004,0,0,0,0,0,1976,1978,7659,2910,1,1,0,1,1,2,1,1,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,
54,5569008023,1,0,0,0,1,1213947,737718,476229,0,7000,1,39,14859,2005,0,0,0,0,0,1971,1971,17649,2927,1,1,0,0,0,1,1,1,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,
55,5569029015,0,0,0,1,1,1829730,1440238,389492,0,7000,1,21,22084,2005,0,1585000,1,950000,1,1974,1974,8163,2643,1,1,0,1,1,1,1,1,3,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
56,5569007055,1,0,0,0,1,1282137,539405,742732,0,7000,1,58,15640,2006,0,0,0,0,0,1977,1980,14422,3416,1,1,0,1,1,2,1,1,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,
57,5570032003,0,0,0,1,1,954658,750629,204029,0,7000,1,21,11582,2007,0,0,0,0,0,1959,1960,9506,2598,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
58,5560004009,0,1,1,1,1,12223162,11091391,1131771,0,0,0,9,146192,2007,0,10800000,0,0,0,1962,1988,17779,4704,1,1,0,0,0,1,1,1,5,6,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0
59,5569027003,0,0,0,1,0,2750203,1840148,910055,0,7000,1,33,33138,2008,0,0,0,0,0,1972,1972,13585,2688,1,1,0,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
60,5569014027,1,0,0,1,0,246685,58172,188513,0,7000,1,76,3278,2009,0,0,0,0,0,1974,1975,32877,3232,1,1,0,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
61,5565043020,1,0,0,1,0,211783,59212,152571,0,7000,1,72,2889,2010,0,0,0,0,0,1963,1964,13256,3064,1,1,0,0,0,2,1,1,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
62,5569026007,0,0,1,1,1,1744652,1064566,680086,0,0,0,39,21224,2010,0,1600000,1,1000000,1,1972,1975,15607,2864,1,1,0,1,1,2,1,1,4,4,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,
63,5570010011,1,0,0,0,1,805755,601367,204388,0,7000,1,25,9890,2011,0,0,1,315000,1,1963,1966,8977,2510,1,1,0,1,1,1,1,1,4,3,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,
64,5569012022,1,0,0,1,0,1161468,543885,617583,0,7000,1,53,14145,2011,0,0,0,0,0,1966,1966,21047,2697,1,1,0,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
65,5569008014,1,0,0,0,1,753053,239348,513705,0,7000,1,68,9413,2012,0,0,0,0,0,1978,1978,19119,3958,1,1,0,1,1,2,1,1,4,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
66,5565043010,1,0,0,0,1,1171028,552506,618522,0,7000,1,53,14275,2012,0,0,1,690535,1,1969,1974,17494,3659,1,1,0,0,0,2,1,1,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
67,5569024017,0,0,0,1,1,694057,161313,532744,0,7000,1,77,8675,2013,0,0,1,590642,1,1979,1979,18507,4798,1,1,0,0,0,2,1,1,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,
68,5561010002,1,0,0,1,0,4419961,3120707,1299254,0,7000,1,29,53139,2013,0,0,0,0,0,1967,1974,28872,4808,1,1,0,0,0,1,1,1,6,7,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
69,5561007024,0,1,1,0,1,11261438,6290872,4970566,0,0,0,44,134744,2013,0,10875000,0,0,0,1965,1970,25454,3562,1,1,0,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
70,5569014029,0,0,0,1,1,2252109,1575957,676152,0,0,0,30,27305,2013,0,2165000,0,0,0,1974,1981,36749,3591,1,1,0,1,1,2,1,1,6,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
71,5561009015,0,1,1,1,1,3883254,2071069,1812185,0,0,0,47,46690,2013,0,3750000,1,1925000,1,1964,1965,27075,2855,1,1,0,1,1,2,1,1,4,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
72,5569008031,0,0,0,0,1,2812241,1568256,1243985,0,0,0,44,33910,2014,0,2770000,0,0,0,1972,1972,8322,3140,1,1,0,1,1,1,1,1,3,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
73,5569025033,0,0,0,1,1,2017301,1613841,403460,0,0,0,20,24528,2014,0,1987000,1,1589600,1,1977,1977,22225,3656,1,1,0,1,1,2,1,1,5,4,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
74,5569008011,1,0,1,1,1,1233528,913725,319803,0,0,0,26,15081,2014,0,1215000,0,0,0,1978,1978,9418,2926,1,1,0,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
75,5569013039,1,0,0,0,1,277455,70394,207061,0,7000,1,75,3788,2015,0,0,0,0,0,1967,1967,59837,3638,1,1,1,0,0,1,1,1,4,4,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.0,1.0
76,5559017006,1,0,0,1,1,506113,117411,388702,0,7000,1,77,6409,2015,0,0,0,0,0,1954,1960,20604,5516,1,1,1,0,0,1,1,1,6,6,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
77,5559012007,1,0,0,1,0,1122664,785870,336794,0,7000,1,30,13765,2015,0,0,0,0,0,1948,1952,61586,4366,1,1,1,0,0,1,1,1,3,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
78,5570023017,0,0,0,1,1,2025423,1620339,405084,0,0,0,20,24506,2015,0,1995000,0,0,0,1963,1967,8137,2424,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
79,5560002008,0,0,0,1,0,2335075,1928975,406100,0,0,0,17,28203,2015,0,0,0,0,0,1954,1957,11625,2106,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,
80,5561006020,0,0,0,0,1,2354850,1612502,742348,0,0,0,32,28580,2016,0,0,0,0,0,1977,1977,38001,4206,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
81,5569029007,0,0,1,0,1,468200,60653,407547,0,0,0,87,6019,2016,0,0,0,0,0,1978,1978,7504,4682,1,1,0,0,0,2,1,1,4,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
82,5556007040,0,0,0,0,1,4240513,3204979,1035534,0,0,0,24,51121,2016,0,8300000,0,0,0,1979,1979,52820,3840,1,1,1,0,0,2,1,1,4,4,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,
83,5561023039,0,1,0,1,1,5367997,4294401,1073596,0,0,0,20,64392,2016,0,6100000,0,0,0,1969,1990,42627,3726,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0
84,5565019023,0,0,0,1,1,287103,90072,197031,0,0,0,69,3773,2016,0,0,0,0,0,1976,1976,15695,2324,1,1,1,0,0,2,1,1,3,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
85,5558017040,0,0,1,1,0,2970803,2376644,594159,0,0,0,20,35682,2016,0,0,0,0,0,1960,1971,21853,3063,1,1,1,0,0,2,1,1,4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
86,5561007027,0,0,1,0,1,325656,106375,219281,0,0,0,67,4384,2017,0,11000000,0,0,0,1961,1961,25076,3213,1,1,0,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
87,5561022013,0,0,0,0,1,1763087,967562,795525,0,7000,1,45,21313,1994,0,1150000,1,862500,1,1958,1968,25282,3561,1,1,0,0,0,1,1,1,3,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
88,5569006016,0,0,1,1,1,638507,161377,477130,0,7000,1,75,7944,1995,0,545000,1,408750,1,1973,1977,7603,3904,1,1,0,1,1,2,1,1,3,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
89,5569029008,0,0,0,1,0,802839,487939,314900,0,7000,1,39,9871,1996,0,572000,1,457600,1,1982,1982,7503,3461,1,1,0,0,0,2,1,1,4,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
90,5571032015,0,0,0,1,0,2925000,2050000,875000,0,0,0,30,35225,1996,0,1150000,0,862500,1,1959,1965,26930,3024,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
91,5569028007,0,0,0,1,0,930157,442457,487700,0,0,0,52,11422,1997,0,515000,0,0,0,1976,1982,7644,2980,1,1,0,1,1,2,1,1,4,4,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
92,5569012023,0,0,0,1,0,794579,529723,264856,0,7000,1,33,9831,1998,0,415000,0,0,0,1972,1977,17203,3415,1,1,0,0,0,2,1,1,5,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
93,5549016032,0,0,1,1,1,4568624,3198037,1370587,0,0,0,30,54956,2015,0,4500000,1,2921767,1,1928,1949,12038,4725,1,1,1,0,0,2,1,1,5,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
94,5560030005,0,0,0,1,0,2145901,1608353,537548,0,0,0,25,26096,2016,0,0,0,0,0,1947,1970,12299,3840,1,1,1,0,0,2,1,1,4,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,
95,5570013014,1,0,1,0,1,1898073,460826,1437247,0,0,0,76,23204,2010,0,0,0,0,0,1986,1988,38308,7820,1,1,0,0,0,0,1,0,5,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
96,5560026017,1,0,0,1,0,826397,519412,306985,0,7000,1,37,10024,2002,0,0,0,0,0,1940,1947,7726,2250,1,1,0,1,1,2,1,1,4,3,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
97,5549012008,0,0,0,0,1,2896636,1266159,1630477,0,0,0,56,35021,2004,0,2460000,1,1845000,1,1929,1965,18972,3541,1,1,0,1,1,2,1,1,4,4,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,
98,5549022008,1,0,0,0,1,332856,133279,199577,0,0,0,60,4488,2007,0,0,0,0,0,1948,1953,15863,3378,1,1,0,1,1,1,1,1,4,4,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
99,5549013055,1,0,0,1,1,854820,407892,446928,0,7000,1,52,10828,2014,0,0,1,2340000,1,1937,1940,40177,3459,1,1,0,1,1,2,1,1,3,3,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
