,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,FINAL DIST,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MISC,NAME CHANGE,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,RECEIVERS DEED,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
4675,5529019055,0,0,0,0,1,520040,404465,115575,0,0,0,22,6442,2014,0,0,1,394000,1,1974,1974,12102,1273,0,0,21,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4676,5529019051,0,0,0,0,1,571669,420443,151226,0,0,0,26,7053,2012,0,547000,1,410250,1,1974,1974,12102,1445,0,0,21,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
4677,4337008116,0,0,1,1,1,554000,396100,157900,0,0,0,29,7385,2014,0,554000,1,443200,1,1965,1968,19346,1046,1,0,26,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4678,5529019047,0,0,1,0,1,327872,211888,115984,0,0,0,35,4185,2015,0,625000,1,500000,1,1974,1974,12102,1037,0,0,21,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4679,5529019052,0,0,1,0,1,678000,542000,136000,0,0,0,20,8295,2006,0,653000,1,520350,1,1974,1974,12102,1436,0,0,21,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4680,5529019054,0,0,1,0,1,425355,291269,134086,0,0,0,32,5336,2015,0,800000,1,640000,1,1974,1974,12102,1291,0,0,21,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
4681,5529019035,0,0,0,0,1,348227,250939,97288,0,1,7000,28,4331,2009,0,325000,1,297618,1,1974,1974,12102,785,0,0,21,0,0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
4682,5529019036,1,0,0,0,0,101074,30644,70430,0,1,7000,70,1442,1999,0,0,0,0,0,1974,1974,12102,789,0,0,21,0,0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4683,5529019042,1,0,1,0,0,210269,122605,87664,0,0,0,42,2807,2008,0,0,0,0,0,1974,1974,12102,959,0,0,21,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
4684,4337008111,0,0,1,0,0,100954,74854,26100,0,1,7000,26,1431,2010,0,0,0,0,0,1965,1968,19346,529,0,0,26,0,0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
4685,4337008107,0,0,1,0,1,128416,67416,61000,0,0,0,48,1843,2007,0,0,0,0,0,1965,1968,19346,758,0,0,26,0,0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
