,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,IN LIEU OF FORC,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PARTNERSHIP,PERSONAL REP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
1027,5511012035,0,0,0,0,1,350011,150676,199335,0,0,0,57,4306,2015,0,0,0,0,0,1983,1983,7506,1812,0,0,6,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
1028,5511012036,1,0,1,0,0,350012,152776,197236,0,1,7000,56,4224,1994,0,0,0,0,0,1983,1983,7506,1833,0,0,6,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1029,5511012037,1,0,0,0,0,291024,64179,226845,0,1,7000,78,3510,2009,0,0,0,0,0,1983,1983,7506,1812,0,1,6,1,1,1.0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
1030,5511012026,1,0,1,1,1,399331,209774,189557,0,0,0,47,4900,2006,0,0,0,0,0,1983,1983,7506,1862,0,0,6,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
1031,5511012027,0,0,0,0,1,679064,271625,407439,0,1,7000,60,8154,2012,0,640000,1,480000,1,1983,1983,7506,1929,0,1,6,1,1,0.0,1,0,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1032,5511012029,0,0,0,0,1,702156,348477,353679,0,1,7000,50,8429,2012,0,675000,1,506250,1,1983,1983,7506,1929,0,0,6,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1033,5511012030,1,0,0,0,1,357008,142799,214209,0,1,7000,60,4313,2002,0,0,0,0,0,1983,1983,7506,1862,0,0,6,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
1034,4334015057,0,0,0,0,1,393663,201010,192653,0,1,7000,49,4733,2005,0,660000,0,0,0,1983,1983,6504,1723,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1035,4334015058,0,0,0,0,1,381854,157831,224023,0,0,0,59,4664,2001,0,300000,0,0,0,1983,1983,6504,1441,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1036,4334015059,0,0,0,0,1,336819,102506,234313,0,0,0,70,4135,1992,0,0,1,175000,1,1983,1983,6504,1626,0,1,7,1,1,0.0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
