,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MEMO AGREE SALE,NAME CHANGE,ORD OF CONDEMN,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,SHERIFFS,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
29,5550019048,0,0,1,0,0,150966,1698,149268,0,0,0,99,1899,1985,0,88000,0,0,0,1968,1972,13301,1238,1,1,18,1,1,0.0,1,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,5550008024,0,0,0,0,1,478415,277522,200893,0,1,7000,42,5747,2014,0,462000,1,389600,1,1960,1975,29167,1157,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31,5550008025,0,0,1,0,1,372922,198476,174446,0,0,0,47,4573,2013,0,358500,1,286500,1,1960,1975,29167,1151,0,1,40,1,1,1.0,1,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
32,5550008026,0,0,0,0,1,580000,381300,198700,0,1,7000,34,6956,2015,0,580000,1,417000,1,1960,1975,29167,1112,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,5550008027,0,0,0,0,1,296371,146500,149871,0,1,7000,51,3576,2014,0,0,0,0,0,1960,1975,29167,1112,0,0,40,0,0,0.0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
34,5550008028,0,0,0,0,1,395288,208047,187241,0,0,0,47,4843,2013,0,390000,0,0,0,1960,1975,29167,1235,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
35,5550008030,0,0,0,0,1,456880,236598,220282,0,0,0,48,5592,2009,0,420000,1,384615,1,1960,1975,29167,1590,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
36,5550008031,0,0,1,1,0,158240,46345,111895,0,1,7000,71,1932,1998,0,65000,0,0,0,1960,1975,29167,1174,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
37,5550008032,1,0,1,0,0,348292,108089,240203,0,0,0,69,4296,2010,0,0,0,0,0,1960,1975,29167,1528,0,0,40,0,0,0.0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
38,5550008033,1,0,1,0,0,211563,89375,122188,0,0,0,58,2678,1999,0,0,0,0,0,1960,1975,29167,1821,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
39,5550008035,0,0,0,0,1,205011,61497,143514,0,1,7000,70,2488,1993,0,139500,1,125550,1,1960,1975,29167,1151,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40,5550008036,0,0,1,1,1,430160,310660,119500,0,0,0,28,5178,2016,0,610000,0,0,0,1960,1975,29167,1305,0,0,40,0,0,0.0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
41,5550008037,0,0,0,0,1,501038,329738,171300,0,0,0,34,6098,2016,0,610000,0,0,0,1960,1975,29167,1112,0,0,40,0,0,0.0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
42,5550008039,0,0,0,0,1,521843,240203,281640,0,1,7000,54,6293,2004,0,434500,1,260000,1,1960,1975,29167,1825,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
43,5550008041,1,0,1,0,1,206935,30219,176716,0,1,7000,85,2512,2015,0,0,0,0,0,1960,1975,29167,1174,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
44,5550008042,0,0,0,0,1,434319,261204,173115,0,0,0,40,5321,2003,0,355000,1,266250,1,1960,1975,29167,1528,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
45,5550008043,0,0,0,0,1,488971,249653,239318,0,0,0,49,5985,2016,0,697182,1,559200,1,1960,1975,29167,1821,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
46,5550008045,0,0,0,0,1,185388,42236,143152,0,0,0,77,2338,2001,0,0,1,196000,1,1960,1975,29167,1151,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
47,5550008046,0,0,0,0,1,129316,94181,35135,0,1,7000,27,1593,2017,0,595000,1,357000,1,1960,1975,29167,1305,0,1,40,1,1,1.0,1,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
48,5550008047,0,0,0,0,1,217888,86331,131557,0,1,7000,60,2640,1993,0,133000,0,99750,1,1960,1975,29167,1112,0,0,40,0,0,0.0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
