,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,IN LIEU OF FORC,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PARTNERSHIP,PERSONAL REP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
55,5070008009,0,0,0,0,0,128494,95747,32747,0,0,0,25,1733,1996,0,0,1,100500,1,1923,1923,6404,1500,1,1,0,0,0,1.0,1,1,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
56,5085007021,0,0,0,0,1,601932,481550,120382,0,1,7000,20,7298,2003,0,0,1,443000,1,1923,1926,6285,1536,1,1,0,1,1,1.0,1,1,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
57,5085007022,0,1,1,0,1,68917,40982,27935,0,0,0,41,958,2016,0,965000,0,0,0,1923,1925,6371,1801,1,1,1,0,0,1.0,1,1,3,2,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
58,5085008004,0,0,1,0,1,1103474,882780,220694,0,0,0,20,13364,2006,0,975000,0,0,0,1923,1943,6449,1741,1,1,0,0,0,1.0,1,1,3,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
59,5085008007,0,0,0,0,0,66848,39118,27730,0,1,7000,41,921,1989,0,0,0,0,0,1923,1926,6412,1641,1,1,0,1,1,1.0,1,1,3,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
60,5085007031,0,0,0,0,1,400087,53112,346975,0,1,7000,87,4924,2012,0,0,0,0,0,1923,1950,6314,2391,1,1,0,0,0,1.0,1,1,3,4,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
61,5085032037,0,0,0,0,0,54417,40568,13849,0,0,0,25,773,2017,0,0,0,0,0,1923,1940,6615,1664,0,0,0,0,0,0.0,0,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
62,5085020010,0,0,0,0,1,684586,547673,136913,0,0,0,20,11150,2016,0,1200000,1,1020000,1,1923,1935,6044,1945,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
63,5085020012,1,0,0,0,0,57109,27730,29379,0,1,7000,51,802,2008,0,0,0,0,0,1923,1929,6020,1654,0,0,0,0,0,0.0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
64,5085020014,0,0,0,0,1,665748,466024,199724,0,1,7000,30,8044,2013,0,0,0,0,0,1923,1923,5995,1370,0,0,0,0,0,0.0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
65,5085025008,0,0,0,0,0,119958,50743,69215,0,1,7000,58,1550,1976,0,37500,0,0,0,1923,1937,7202,1386,0,0,0,0,0,0.0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
66,5085026011,0,0,1,0,0,365203,255648,109555,0,0,0,30,4541,2006,0,0,0,0,0,1923,1925,7324,986,0,0,0,1,1,1.0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
67,5085001016,0,0,0,0,1,828426,662742,165684,0,0,0,20,10085,2014,0,800000,1,640000,1,1923,1947,5248,1389,0,1,0,1,1,0.0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
68,5084019004,0,0,0,0,0,311199,229100,82099,0,1,7000,26,3830,2012,0,0,0,0,0,1923,1925,6000,1639,1,1,0,1,1,1.0,1,0,3,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
69,5084030002,0,0,0,0,1,263509,193092,70417,0,0,0,27,3342,1996,0,172000,0,137600,1,1923,1941,5516,1562,0,1,0,1,1,1.0,1,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
70,5070005010,0,0,0,0,1,766294,531953,234341,0,0,0,31,9308,2013,0,740000,1,555000,1,1923,1950,6138,1044,1,1,0,0,0,1.0,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
71,5070005026,0,0,0,0,0,45930,28143,17787,0,1,7000,39,661,2009,0,0,0,0,0,1923,1923,6404,1386,1,1,0,0,0,1.0,1,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
72,5070005015,1,0,0,0,0,567655,212207,355448,0,1,7000,63,6868,2012,0,0,0,0,0,1923,1991,6909,1016,1,1,0,0,0,1.0,1,1,2,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
73,5070005028,1,0,0,0,1,56695,33940,22755,0,1,7000,40,797,2007,0,0,0,0,0,1923,1928,6731,1436,1,1,0,0,0,1.0,1,1,4,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
74,5070006048,0,0,1,0,0,150960,82344,68616,0,0,0,45,2005,2009,0,0,0,0,0,1923,1934,6221,1756,0,1,0,1,1,1.0,1,1,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
75,5089020037,0,0,0,0,1,1448761,1159009,289752,0,1,7000,20,17483,2015,0,1427000,1,1120000,1,1923,1926,9429,1871,1,1,1,0,0,2.0,1,1,4,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
76,5089019015,0,0,0,0,1,322750,258207,64543,0,1,7000,20,3996,2001,0,0,1,330000,1,1923,1930,6969,1466,1,1,0,0,0,1.0,1,1,2,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
77,5089019016,1,0,0,0,0,378085,230886,147199,0,1,7000,39,4717,1987,0,175000,0,0,0,1923,1953,7773,2609,1,1,0,1,1,1.0,1,1,4,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
78,5089019018,0,0,0,0,0,337852,249246,88606,0,1,7000,26,4208,2007,0,0,0,0,0,1923,1938,7370,2035,1,1,0,1,1,1.0,1,1,3,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
79,5089026007,0,0,0,0,1,91076,47402,43674,0,0,0,48,1268,2016,0,0,0,0,0,1923,1932,7710,1908,1,1,1,0,0,1.0,1,1,3,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
80,5089021015,0,0,0,0,0,366110,273858,92252,0,1,7000,25,4485,2007,0,0,0,0,0,1923,1925,6688,1346,1,1,0,1,1,1.0,1,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
81,5089024011,0,0,0,0,1,693021,549088,143933,0,0,0,21,8490,2002,0,550000,1,300700,1,1923,1947,6689,1941,1,1,0,0,0,1.0,1,1,4,3,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82,5089021009,0,0,0,0,0,109438,72638,36800,0,1,7000,34,1426,1990,0,0,0,0,0,1923,1926,6689,1352,1,1,0,1,1,1.0,1,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
83,5089021003,0,0,0,0,1,864744,502931,361813,0,0,0,42,10428,2012,0,815000,1,652000,1,1923,1939,5574,1837,1,1,0,1,1,1.0,1,1,3,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
84,5089024007,0,0,0,0,0,120760,43674,77086,0,1,7000,64,1587,2014,0,0,0,0,0,1923,1942,6690,1963,1,1,0,0,0,1.0,1,1,3,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
85,5089024006,0,0,0,0,0,1059646,847719,211927,0,0,0,20,12860,2008,0,0,0,0,0,1923,1927,6689,1956,1,1,0,0,0,1.0,1,1,4,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
86,5089019032,0,0,0,0,0,73268,46366,26902,0,0,0,37,1122,1984,0,0,0,0,0,1923,1926,5972,1506,1,1,0,0,0,1.0,1,1,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
87,5089019033,1,0,0,0,1,882038,705632,176406,0,0,0,20,10699,2011,0,815000,1,565000,1,1923,1928,6139,1966,1,1,0,1,1,1.0,1,1,3,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
88,5089019035,0,0,0,0,1,828477,672780,155697,0,0,0,19,10053,2016,0,0,0,0,0,1923,1948,6473,1710,1,1,1,0,0,1.0,1,1,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
89,5089019022,0,0,0,0,1,1074926,859345,215581,0,0,0,20,13071,2004,0,895000,1,716000,1,1923,1956,6735,2028,1,1,0,0,0,1.0,1,1,3,3,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
90,5089026023,0,0,0,0,1,1221645,977317,244328,0,0,0,20,14766,2015,0,0,0,0,0,1923,1932,7338,1949,1,1,1,1,1,1.0,1,1,3,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
91,5526027010,0,0,1,0,0,70573,54240,16333,0,0,0,23,1031,2016,0,0,0,0,0,1923,1923,6500,1210,1,1,1,0,0,1.0,1,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
92,5088003050,0,0,0,0,1,891572,662290,229282,0,0,0,26,10886,2016,0,0,1,1238000,1,1923,1936,8250,2372,1,1,1,0,0,1.0,1,1,3,2,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
93,5088017002,1,0,0,0,1,1583790,1267032,316758,0,1,7000,20,19031,2014,0,1560000,0,0,0,1923,1928,7500,2121,1,1,0,1,1,1.0,1,1,3,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
94,5088016032,1,0,0,0,0,420734,256453,164281,0,1,7000,39,5188,2003,0,0,0,0,0,1923,1923,7500,2576,1,1,0,1,1,1.0,1,1,5,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
95,5088017005,0,0,0,0,1,311000,124000,187000,0,0,0,60,3902,2010,0,1128500,1,729750,1,1923,1925,9375,2379,1,1,0,0,0,2.0,1,1,4,3,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
96,5088009011,0,1,0,0,1,1118615,894895,223720,0,0,0,20,13598,2016,0,1275000,0,0,0,1923,1963,7500,2209,1,1,1,1,1,1.0,1,1,2,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
97,5088006002,0,0,0,0,0,676826,533958,142868,0,1,7000,21,8256,1999,0,0,0,0,0,1923,1948,8090,1828,1,1,0,1,1,1.0,1,1,3,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
98,5088007005,1,0,0,0,1,247256,49317,197939,0,1,7000,80,3127,2002,0,0,0,0,0,1923,1943,7001,2827,1,0,0,0,0,1.0,1,1,4,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
99,5088008022,0,0,0,0,0,634071,535327,98744,0,1,7000,16,7756,1988,0,400000,0,0,0,1923,1934,7500,2219,1,1,0,0,0,1.0,1,1,4,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
100,5088006013,0,0,1,0,1,1172239,841654,330585,0,0,0,28,14222,2012,0,1127000,0,0,0,1923,1980,7000,1948,1,1,0,0,0,1.0,1,1,3,4,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
101,5088006014,0,0,0,0,1,1090406,872327,218079,0,0,0,20,13255,2016,0,0,1,609600,1,1923,1932,7001,2138,1,1,1,0,0,1.0,1,1,3,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
102,5088006015,0,0,1,0,1,104389,45334,59055,0,0,0,57,1404,2017,0,1200000,1,840000,1,1923,1929,6999,1783,1,1,0,0,0,1.0,1,1,3,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
