,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,INTERSPOUSAL,JOINT TENANT,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
31,5572022009,0,1,1,0,0,2931079,1894903,1036176,0,0,0,35,35493,2015,0,0,1,1803750,1,1961,1961,22261,2868,1,1,1,1,1,1.0,1,1,2,3,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
32,5585016030,0,0,0,0,1,2091819,1476596,615223,0,1,1,29,25206,2015,0,2020000,1,1595800,1,1937,1937,8102,1976,1,1,1,0,0,2.0,1,1,3,4,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
33,5577038039,1,0,0,0,0,976908,828727,148181,0,1,1,15,12067,2003,0,0,0,0,0,1966,1974,16260,2668,1,1,0,0,0,1.0,1,1,4,3,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
34,5572036011,1,0,0,0,0,2307321,1502366,804955,0,1,1,35,27907,2006,0,0,0,0,0,1974,1982,12537,3918,1,1,0,0,0,2.0,1,1,4,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
35,5572033023,0,0,1,0,1,3032245,1920018,1112227,0,1,1,37,36592,2009,0,0,0,0,0,1941,2000,37184,3362,1,1,0,1,1,2.0,1,1,3,4,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
36,5586019056,1,0,0,0,0,614599,491685,122914,0,1,1,20,7623,2012,0,0,0,0,0,1940,1944,6806,2068,1,1,0,0,0,1.0,1,1,3,2,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
37,5582020015,1,0,0,0,1,1156585,925269,231316,0,1,1,20,14119,2014,0,0,0,0,0,1926,1927,5605,1760,1,1,1,1,1,2.0,1,1,3,3,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,
38,5585003003,0,0,0,0,1,1174000,939200,234800,0,0,0,20,14275,2017,0,0,0,0,0,1954,1954,6470,1224,1,1,1,1,1,1.0,1,1,2,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
39,5572033019,1,0,0,0,0,207313,70537,136776,0,1,1,66,2828,1990,0,0,0,0,0,1936,1944,7676,2471,1,1,0,1,1,1.0,1,1,5,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
40,5586017018,1,0,1,0,0,1077381,821650,255731,0,0,0,24,13268,0,0,0,0,0,0,1941,1960,11407,1752,1,1,0,0,0,2.0,1,1,3,2,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
